county,population_2006,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,id,id_str,west_nile_cases_2006,west_nile_rate_2006,west_nile_cases_2007,west_nile_rate_2007,west_nile_cases_2008,west_nile_rate_2008,west_nile_cases_2009,west_nile_rate_2009,west_nile_cases_2010,west_nile_rate_2010,west_nile_cases_2011,west_nile_rate_2011,west_nile_cases_2012,west_nile_rate_2012,west_nile_cases_2013,west_nile_rate_2013,west_nile_cases_2014,west_nile_rate_2014,west_nile_cases_2015,west_nile_rate_2015
Alameda,1464839,1476401,1491781,1503827,1513493,1531511,1553219,1574688,1598779,1619244,6001.0,06001,1.0,0.06826688803342894,0.0,0.0,1.0,0.0670339681226668,0.0,0.0,1.0,0.06607232408739254,0.0,0.0,2.0,0.1287648425624461,0.0,0.0,1.0,0.0625477317377824,0.0,0.0
Alpine,1255,1248,1208,1180,1147,1170,1166,1164,1164,1165,6003.0,06003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amador,37964,38085,37864,37905,37907,37894,37746,37582,37448,37302,6005.0,06005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6389402016150316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Butte,215684,217115,218485,219287,220024,220651,221788,222113,223589,224301,6007.0,06007,31.0,14.37287884126778,16.0,7.369366464776731,6.0,2.7461839485548207,2.0,0.9120467697583532,1.0,0.45449587317747153,3.0,1.3596131447398832,10.0,4.508810215160423,24.0,10.805310810263244,24.0,10.733980651999875,53.0,23.62896286686194
Calaveras,45316,45638,45702,45562,45258,45414,45305,45116,45010,44881,6009.0,06009,0.0,0.0,0.0,0.0,1.0,2.1880880486630785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colusa,20893,21119,21172,21270,21452,21626,21781,21972,22139,22312,6011.0,06011,3.0,14.358876178624419,2.0,9.47014536673138,1.0,4.7232193463064425,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.773472292364906,2.0,9.102494083378845,3.0,13.55074754957315,1.0,4.481893151667264
Contra Costa,1010104,1021251,1033292,1043501,1052192,1063780,1075384,1089243,1102416,1116385,6013.0,06013,8.0,0.7919976556869393,3.0,0.2937573622938925,4.0,0.38711225868389576,5.0,0.479156225053929,4.0,0.38015875429579393,3.0,0.28201319821767656,4.0,0.3719601556281291,5.0,0.45903439361097575,5.0,0.45354929536581473,1.0,0.08957483305490489
Del Norte,28276,28480,28571,28559,28577,28200,27978,27507,27177,27089,6015.0,06015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Dorado,175258,177195,178599,179701,181183,180865,181041,182228,182358,182917,6017.0,06017,2.0,1.1411747252621849,0.0,0.0,1.0,0.5599135493479807,1.0,0.5564799305513046,0.0,0.0,1.0,0.5528985707571946,0.0,0.0,1.0,0.5487630879996488,0.0,0.0,0.0,0.0
Fresno,886376,899826,913239,923895,933075,942047,950589,959455,969102,980980,6019.0,06019,11.0,1.2410083305504662,17.0,1.8892541446901956,3.0,0.32850108241106657,13.0,1.4070863030972134,23.0,2.4649679822093615,9.0,0.9553663458404942,24.0,2.524750444198281,7.0,0.7295808557983439,43.0,4.437097436595941,7.0,0.7135721421435708
Glenn,27731,28013,28120,28056,28188,28374,28508,28684,28828,29000,6021.0,06021,12.0,43.272871515632325,7.0,24.98839824367258,1.0,3.5561877667140824,0.0,0.0,2.0,7.095217823187172,1.0,3.524353281172905,7.0,24.554511014452082,9.0,31.376377074327152,10.0,34.688497294297214,19.0,65.51724137931035
Humboldt,132226,132657,133201,133766,134575,135158,134629,134646,134419,134825,6023.0,06023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imperial,162532,166894,170104,173241,175594,177401,179136,180047,182786,184760,6025.0,06025,1.0,0.6152634558117785,3.0,1.7975481443311323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5582350839585566,0.0,0.0,1.0,0.5470878513671725,1.0,0.5412426932236415
Inyo,18421,18447,18383,18448,18627,18536,18569,18585,18640,18697,6027.0,06027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kern,786220,805798,819891,831134,841744,849678,857599,867825,875843,884436,6029.0,06029,49.0,6.232352267813081,140.0,17.374081345448857,2.0,0.2439348645124779,19.0,2.28603329908294,15.0,1.7820144842137278,18.0,2.1184495773693093,25.0,2.915115339453521,25.0,2.8807651312188516,11.0,1.255932855546028,11.0,1.2437304677783356
Kings,147496,150378,151834,151794,153020,151240,149822,150128,149338,149813,6031.0,06031,1.0,0.677984487714921,7.0,4.654936227373685,2.0,1.3172280253434672,3.0,1.9763627020830863,1.0,0.6535093451836361,1.0,0.6612007405448295,3.0,2.0023761530349344,1.0,0.6660982628157306,4.0,2.6784877258299966,0.0,0.0
Lake,63792,63986,64370,64396,64466,64591,64665,64548,64915,65023,6033.0,06033,2.0,3.135189365437672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5464316090620893,0.0,0.0,1.0,1.5404760070861896,2.0,3.075834704642973
Lassen,35011,35749,35120,34773,34730,34540,33016,32299,31803,30988,6035.0,06035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Angeles,9787327,9773894,9796812,9805233,9827070,9902593,9991159,10056433,10123688,10192374,6037.0,06037,12.0,0.12260753114716612,36.0,0.3683281197852156,156.0,1.5923547374390772,20.0,0.2039727153857537,4.0,0.04070389241147158,58.0,0.5857051784315481,163.0,1.6314423581888746,158.0,1.5711336216330383,253.0,2.4990892647027447,252.0,2.4724367453549094
Madera,143528,146806,149114,150151,151160,151341,150628,152026,153951,154982,6039.0,06039,0.0,0.0,2.0,1.3623421386046892,0.0,0.0,1.0,0.6659962304613356,7.0,4.630854723471818,2.0,1.3215189538855963,3.0,1.9916615768648591,3.0,1.973346664386355,3.0,1.948671980045599,4.0,2.5809448839220037
Marin,247247,248802,250288,251230,252767,254288,255546,258248,260514,261663,6041.0,06041,1.0,0.4044538457493923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.7744493665004183,0.0,0.0,1.0,0.38217096035740633
Mariposa,18244,18376,18385,18281,18119,18237,18223,18154,18128,18097,6043.0,06043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mendocino,87584,87646,87782,87569,87939,87336,88027,88098,88535,88379,6045.0,06045,0.0,0.0,2.0,2.2819067612897337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.129496809171514,1.0,1.1314905124520531
Merced,245555,249538,251932,254123,256386,259905,262755,264652,267571,270156,6047.0,06047,4.0,1.628962961454664,4.0,1.6029622742828749,1.0,0.3969325055967483,4.0,1.5740409171936425,1.0,0.3900368974905026,1.0,0.38475596852696176,13.0,4.9475747369222285,0.0,0.0,1.0,0.37373257939014315,1.0,0.37015650216911705
Modoc,9639,9590,9623,9632,9676,9686,9634,9603,9577,9566,6049.0,06049,2.0,20.749040356883494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mono,14151,14212,14073,14075,14114,14285,14121,13903,13910,13762,6051.0,06051,1.0,7.066638400113066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterey,405877,407896,410877,413590,415825,418836,423208,425860,429144,435658,6053.0,06053,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24178534297250898,0.0,0.0,0.0,0.0,1.0,0.23629042929245195,0.0,0.0,0.0,0.0,0.0,0.0
Napa,131920,133155,134786,135664,136681,137359,138739,139395,140720,141625,6055.0,06055,1.0,0.7580351728320195,1.0,0.7510044684765874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7173858459772589,0.0,0.0,0.0,0.0
Nevada,98334,98480,98680,98432,98484,98431,98038,97632,98175,97946,6057.0,06057,1.0,1.0169422580185896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.041941477957242
Orange,2955433,2965823,2982788,2998816,3017089,3051472,3086260,3113370,3139615,3165203,6059.0,06059,6.0,0.20301593708942142,9.0,0.30345708425620815,71.0,2.3803233753119564,4.0,0.13338597633199237,1.0,0.03314453103637314,10.0,0.32771069175794504,42.0,1.3608704386539048,9.0,0.2890758245887896,263.0,8.376823272917221,85.0,2.6854517703919782
Placer,322270,329719,337914,344088,350609,355640,360043,364372,368274,371558,6061.0,06061,8.0,2.4823905420920345,4.0,1.2131542313303145,6.0,1.7755997088016477,0.0,0.0,3.0,0.855654019149537,1.0,0.2811832189854909,12.0,3.33293523273609,6.0,1.6466687890397724,7.0,1.9007586742479785,0.0,0.0
Plumas,20710,20596,20368,20063,19993,19927,19883,19769,19720,19675,6063.0,06063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riverside,2017350,2082656,2122920,2158399,2191800,2227542,2252818,2276342,2304902,2331040,6065.0,06065,4.0,0.19827992167943093,17.0,0.8162653842017117,62.0,2.920505718538617,3.0,0.13899191020751955,0.0,0.0,7.0,0.31424772237740073,19.0,0.8433881476444169,35.0,1.537554550238936,14.0,0.6074010955780332,125.0,5.3624133434003705
Sacramento,1372275,1388086,1400939,1411403,1420447,1433766,1445019,1455343,1473279,1489308,6067.0,06067,15.0,1.0930753675465923,25.0,1.801041145865602,13.0,0.9279490398939568,0.0,0.0,12.0,0.8448044876014381,4.0,0.27898555273315173,30.0,2.076097269309262,10.0,0.6871232417375148,10.0,0.6787580627973385,4.0,0.26858111283898295
San Benito,54895,55000,55043,55093,55350,55894,56333,56750,57168,57572,6069.0,06069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Bernardino,1976767,2002651,2016526,2022319,2038771,2064165,2076836,2091054,2110042,2127735,6071.0,06071,3.0,0.151762954359315,4.0,0.19973525092489908,36.0,1.7852484917129756,2.0,0.09889636600358302,5.0,0.24524578778097197,4.0,0.1937829582421948,32.0,1.5408053404313098,13.0,0.6216960441958935,21.0,0.9952408530256743,50.0,2.3499166954531465
San Diego,2982816,3014165,3051262,3077633,3104581,3137283,3174808,3209225,3247522,3275546,6073.0,06073,1.0,0.0335253666334095,15.0,0.49765026134932894,35.0,1.1470663613940724,4.0,0.129970012668827,0.0,0.0,0.0,0.0,1.0,0.031497967751120695,0.0,0.0,11.0,0.3387197992808055,41.0,1.251699716627396
San Francisco,782928,791334,798673,801799,807177,819358,831607,842357,852070,862470,6075.0,06075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12388856471381121,0.0,0.0,1.0,0.12024910805224102,1.0,0.11871451178063458,0.0,0.0,0.0,0.0
San Joaquin,660885,669737,675248,680421,686761,694060,700346,705640,717155,728509,6077.0,06077,8.0,1.2104980442890971,10.0,1.493123420088781,12.0,1.7771248489443878,10.0,1.4696783315035837,6.0,0.8736663846665725,5.0,0.7203988127827565,13.0,1.8562253514691311,8.0,1.1337225780851425,9.0,1.25495883037837,2.0,0.27453332765964455
San Luis Obispo,261803,264162,266850,268224,269753,269908,271982,272775,275233,276142,6079.0,06079,1.0,0.3819665932017586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Mateo,699398,704272,711374,716264,719582,728649,739544,747431,754639,762327,6081.0,06081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Barbara,412853,416648,419970,422423,424291,425820,430712,435497,440200,445444,6083.0,06083,0.0,0.0,0.0,0.0,1.0,0.2381122461128176,0.0,0.0,0.0,0.0,1.0,0.23484101263444646,0.0,0.0,1.0,0.22962270693024292,0.0,0.0,0.0,0.0
Santa Clara,1713839,1736327,1759534,1774890,1787553,1812314,1837992,1864255,1889280,1915407,6085.0,06085,5.0,0.29174268994928926,4.0,0.23037135286152896,1.0,0.05683322970741116,0.0,0.0,0.0,0.0,1.0,0.05517807620533749,0.0,0.0,2.0,0.10728146095893534,10.0,0.5293021680216802,8.0,0.4176658015763751
Santa Cruz,255486,257601,259873,261912,263174,265378,267793,270602,271916,274594,6087.0,06087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3768209874217155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shasta,175238,175849,176629,176881,177480,177633,178084,178751,179167,178795,6089.0,06089,4.0,2.282609936201052,9.0,5.118027398506673,1.0,0.5661584451024464,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.561532759821208,1.0,0.5594374297206729,2.0,1.1162769929730363,3.0,1.6778992701138176
Sierra,3424,3344,3284,3243,3231,3216,3206,3187,3168,3166,6091.0,06091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Siskiyou,44891,44862,45041,44950,44951,44792,44765,44652,44635,44563,6093.0,06093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.239541341933172,0.0,0.0,1.0,2.2440140924085004
Solano,411351,412636,413167,412488,413220,414919,417647,420878,425618,429384,6095.0,06095,6.0,1.4586083417811067,1.0,0.24234434222898632,1.0,0.24203288258742833,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.47887330688356433,1.0,0.2375985439961224,5.0,1.1747623455774898,1.0,0.23289177053639631
Sonoma,469967,472987,476650,480598,484258,487029,489886,494398,497645,500487,6097.0,06097,0.0,0.0,1.0,0.21142230124718014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stanislaus,503548,508372,510396,512052,515311,518676,523453,527673,531796,537957,6099.0,06099,11.0,2.184498796539754,21.0,4.130833326776456,17.0,3.330747106168544,13.0,2.538804652652465,12.0,2.3286908294214563,11.0,2.1207844588914853,26.0,4.967017096090766,18.0,3.4112035294585854,33.0,6.205387028108523,12.0,2.230661558451698
Sutter,90628,92502,93465,94372,94800,95458,96047,96540,97104,97701,6101.0,06101,12.0,13.240940989539657,3.0,3.2431731205811767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.329255468676793,10.0,10.358400662937642,8.0,8.238589553468445,2.0,2.0470619543300477
Tehama,61542,62011,62720,63122,63635,63621,63711,63731,63849,63975,6103.0,06103,3.0,4.874719703617043,4.0,6.45046846527229,4.0,6.377551020408164,0.0,0.0,0.0,0.0,1.0,1.571808050800836,4.0,6.278350677277079,3.0,4.707285308562551,4.0,6.264780967595421,5.0,7.815552950371238
Trinity,13823,13787,13730,13771,13883,13733,13704,13667,13614,13583,6105.0,06105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tulare,416092,423608,431471,438408,443638,447746,452461,456246,460313,465013,6107.0,06107,8.0,1.9226517212539536,10.0,2.3606730751071745,5.0,1.158826433294474,4.0,0.9123921096330359,12.0,2.704908055667008,11.0,2.4567500323844325,7.0,1.5470946667226568,5.0,1.0959000188494803,21.0,4.562113170820724,13.0,2.7956207675914437
Tuolumne,56558,56133,56060,55258,54961,55190,55033,54894,54688,54511,6109.0,06109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ventura,801225,805911,812028,818546,825378,831810,836787,842796,847972,852964,6111.0,06111,3.0,0.3744266591781335,1.0,0.12408318040081348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.8365330723350147,2.0,0.23730535028642755,1.0,0.11792842216488279,6.0,0.7034294530601526
Yolo,190809,194854,197589,199697,200995,203019,205377,208160,209863,212747,6113.0,06113,26.0,13.62619163666284,2.0,1.0264095168690404,1.0,0.5061010481352707,2.0,1.001517298707542,0.0,0.0,0.0,0.0,10.0,4.869094397133077,6.0,2.882398155265181,15.0,7.147520048793737,8.0,3.7603350458525853
Yuba,69218,70221,71422,71796,72336,73015,73704,74352,74977,75621,6115.0,06115,5.0,7.223554566731197,0.0,0.0,0.0,0.0,1.0,1.3928352554459857,0.0,0.0,3.0,4.108744778470178,4.0,5.4271138608488005,9.0,12.10458360232408,6.0,8.002454085919682,8.0,10.579071950913105
